19/01/2006	PETRB48	0,27	47,58	20/02/2006	
19/01/2006	PETRB50	0,09	49,58	20/02/2006	
19/01/2006	PETRB8	0,24	48,00	20/02/2006	
20/01/2006	PETR4	43,88	0,00	31/12/9999	
20/01/2006	PETRB38	6,80	37,58	20/02/2006	
20/01/2006	PETRB40	4,87	39,58	20/02/2006	
20/01/2006	PETRB42	3,15	41,58	20/02/2006	
20/01/2006	PETRB44	1,69	43,58	20/02/2006	
20/01/2006	PETRB45	1,14	44,58	20/02/2006	
20/01/2006	PETRB46	0,73	45,58	20/02/2006	
20/01/2006	PETRB48	0,27	47,58	20/02/2006	
20/01/2006	PETRB50	0,09	49,58	20/02/2006	
20/01/2006	PETRC42	3,53	42,00	20/03/2006	
23/01/2006	PETR4	44,32	0,00	31/12/9999	
23/01/2006	PETRB40	5,34	39,58	20/02/2006	
23/01/2006	PETRB42	3,50	41,58	20/02/2006	
23/01/2006	PETRB44	1,99	43,58	20/02/2006	
23/01/2006	PETRB45	1,31	44,58	20/02/2006	
23/01/2006	PETRB46	0,87	45,58	20/02/2006	
23/01/2006	PETRB47	0,40	46,58	20/02/2006	
23/01/2006	PETRB48	0,30	47,58	20/02/2006	
23/01/2006	PETRB50	0,08	49,58	20/02/2006	
23/01/2006	PETRB8	0,26	48,00	20/02/2006	
24/01/2006	PETR4	45,69	0,00	31/12/9999	
24/01/2006	PETRB38	8,62	37,58	20/02/2006	
24/01/2006	PETRB40	6,64	39,58	20/02/2006	
24/01/2006	PETRB42	4,75	41,58	20/02/2006	
24/01/2006	PETRB44	3,00	43,58	20/02/2006	
24/01/2006	PETRB45	2,19	44,58	20/02/2006	
24/01/2006	PETRB46	1,53	45,58	20/02/2006	
24/01/2006	PETRB47	0,98	46,58	20/02/2006	
24/01/2006	PETRB48	0,60	47,58	20/02/2006	
24/01/2006	PETRB50	0,19	49,58	20/02/2006	
24/01/2006	PETRB8	0,46	48,00	20/02/2006	
24/01/2006	PETRC40	7,12	39,58	20/03/2006	
24/01/2006	PETRC42	5,05	42,00	20/03/2006	
24/01/2006	PETRC44	3,51	44,00	20/03/2006	
24/01/2006	PETRC46	2,17	46,00	20/03/2006	
24/01/2006	PETRC48	1,24	48,00	20/03/2006	
24/01/2006	PETRC50	0,66	50,00	20/03/2006	
26/01/2006	PETR4	45,25	0,00	31/12/9999	
26/01/2006	PETRB40	6,12	39,58	20/02/2006	
26/01/2006	PETRB42	4,29	41,58	20/02/2006	
26/01/2006	PETRB44	2,68	43,58	20/02/2006	
26/01/2006	PETRB45	2,04	44,58	20/02/2006	
26/01/2006	PETRB46	1,37	45,58	20/02/2006	
26/01/2006	PETRB47	0,90	46,58	20/02/2006	
26/01/2006	PETRB48	0,53	47,58	20/02/2006	
26/01/2006	PETRB50	0,17	49,58	20/02/2006	
26/01/2006	PETRC46	1,96	46,00	20/03/2006	
26/01/2006	PETRC48	1,24	48,00	20/03/2006	
26/01/2006	PETRC50	0,65	50,00	20/03/2006	
